Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV18308,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiales_fam_Incertae_sedis,Venturiales_gen_Incertae_sedis,Unidentified_Venturiales_gen_Incertae_sedis
ASV18309,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,halophilicus
ASV18310,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Dekkera,anomala
ASV18311,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Unidentified_Ascomycota_gen_Incertae_sedis
ASV18312,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliales_fam_Incertae_sedis,Orbiliales_gen_Incertae_sedis,Unidentified_Orbiliales_gen_Incertae_sedis
ASV18313,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leohumicola,minima
ASV18314,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Botryotrichum,atrogriseum
ASV18315,Fungi,Ascomycota,Unidentified_Ascomycota,Unidentified_Ascomycota,Unidentified_Ascomycota,Unidentified_Ascomycota,Unidentified_Ascomycota
ASV18316,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,miniglutinans
ASV18317,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Unidentified_Ascomycota_gen_Incertae_sedis
ASV18318,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,piperis
ASV18319,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Neodevriesiaceae,Neodevriesia,bulbillosa
ASV18320,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavulinopsis,corniculata
ASV18321,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Blumeria,graminis
ASV18322,Fungi,Monoblepharomycota,Monoblepharomycota_cls_Incertae_sedis,Monoblepharomycota_ord_Incertae_sedis,Monoblepharomycota_fam_Incertae_sedis,Monoblepharomycota_gen_Incertae_sedis,Unidentified_Monoblepharomycota_gen_Incertae_sedis
ASV18323,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Porotheleaceae,Porotheleaceae_gen_Incertae_sedis,Unidentified_Porotheleaceae_gen_Incertae_sedis
ASV18324,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,globosa
ASV18325,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Unidentified_Phaeosphaeriaceae,Unidentified_Phaeosphaeriaceae
ASV18326,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Unidentified_Mortierella
ASV18327,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,pullulans
ASV18328,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,reticulatus
ASV18329,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Geotrichum,silvicola
ASV18330,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,septimanifiniscientiae
ASV18331,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Amniculicolaceae,Murispora,kazachstanica
ASV18332,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Cutaneotrichosporon,curvatum
ASV18333,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Unidentified_Candida
ASV18334,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Unidentified_Penicillium
ASV18335,Fungi,Ascomycota,Sordariomycetes,Atractosporales,Conlariaceae,Conlarium,sacchari
ASV18336,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Unidentified_Cladophialophora
ASV18337,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiales_fam_Incertae_sedis,Venturiales_gen_Incertae_sedis,Unidentified_Venturiales_gen_Incertae_sedis
ASV18338,Fungi,Ascomycota,Unidentified_Ascomycota,Unidentified_Ascomycota,Unidentified_Ascomycota,Unidentified_Ascomycota,Unidentified_Ascomycota
ASV18339,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Geotrichum,silvicola
ASV18340,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,platani
ASV18341,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Cosmospora,Unidentified_Cosmospora
ASV18342,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,intermedia
ASV18343,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,orientalis
ASV18344,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Unidentified_Saccotheciaceae,Unidentified_Saccotheciaceae
ASV18345,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scedosporium,boydii
ASV18346,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,niemeijerarum
ASV18347,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,persicinum
ASV18348,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,orientalis
ASV18349,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,eremophila
ASV18350,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,ellisii
ASV18351,Fungi,Ascomycota,Sordariomycetes,Phomatosporales,Phomatosporaceae,Phomatosporaceae_gen_Incertae_sedis,Unidentified_Phomatosporaceae_gen_Incertae_sedis
ASV18352,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Capnodiales_fam_Incertae_sedis,Capnodiales_gen_Incertae_sedis,Unidentified_Capnodiales_gen_Incertae_sedis
