"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV19690","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","minitans"
"ASV19691","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA
"ASV19692","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV19693","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"ASV19694","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV19695","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","reticulatus"
"ASV19696","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","restricta"
"ASV19697","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","restricta"
"ASV19698","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA
"ASV19699","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","cecembensis"
"ASV19700","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19701","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19702","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19703","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum","stemonitis"
"ASV19704","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",NA
"ASV19705","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella",NA
"ASV19706","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","sinensis"
"ASV19707","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Erysiphe","platani"
"ASV19708","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","graminis"
"ASV19709","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Selenophoma","mahoniae"
"ASV19710","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Erysiphe","platani"
"ASV19711","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces",NA
"ASV19712","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudeurotium","hygrophilum"
"ASV19713","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","tenuissimum"
"ASV19714","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","restricta"
"ASV19715","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19716","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19717","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum",NA
"ASV19718","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces",NA
"ASV19719","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycodaceae","Hanseniaspora",NA
"ASV19720","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA
"ASV19721","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","spirale"
"ASV19722","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"ASV19723","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum",NA
"ASV19724","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19725","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida",NA
"ASV19726","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV19727","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV19728","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV19729","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces",NA
"ASV19739","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_ord_Incertae_sedis","Junewangiaceae","Junewangiaceae_gen_Incertae_sedis",NA
"ASV19740","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"ASV19741","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Komagataella","phaffii"
"ASV19742","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Starmerella","davenportii"
"ASV19743","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19744","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae",NA,NA
"ASV19745","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","mucilaginosa"
"ASV19746","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum","silvicola"
"ASV19747","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Microdochium","fisheri"
"ASV19748","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Hyphopichia","burtonii"
"ASV19749","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiella","intermedia"
"ASV19750","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae",NA,NA
"ASV19751","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum","silvicola"
"ASV19752","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"ASV19753","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"ASV19754","Fungi","Ascomycota","Sordariomycetes","Microascales","Ceratocystidaceae","Ceratocystis","ethacetica"
"ASV19755","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Phaeotremellaceae","Phaeotremella","ovata"
"ASV19756","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum",NA
"ASV19757","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"ASV19758","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","podzolica"
"ASV19759","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae",NA,NA
"ASV19760","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"ASV19761","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19762","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"ASV19763","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19764","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"ASV19765","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",NA
"ASV19766","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV19767","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"ASV19768","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","reticulatus"
"ASV19769","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","orientalis"
"ASV19770","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","cecembensis"
"ASV19771","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","cecembensis"
"ASV19772","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV19773","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis",NA
"ASV19774","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV19775","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","pye"
"ASV19776","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","lunata"
"ASV19777","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV19778","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","indica"
"ASV19779","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","indica"
"ASV19780","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"ASV19781","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV19782","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19783","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","atrogriseum"
"ASV19784","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomidium","leptoderma"
"ASV19785","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae",NA,NA
"ASV19786","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"ASV19787","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"ASV19788","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","intermedia"
"ASV19789","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","halophilicus"
"ASV19790","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"ASV19791","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","parapsilosis"
"ASV19792","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19793","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","pullulans"
"ASV19794","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","rubicola"
"ASV19795","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",NA
"ASV19796","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"ASV19797","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA
"ASV19798","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","orientalis"
"ASV19799","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"ASV19800","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","kudriavzevii"
"ASV19801","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae",NA,NA
