Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV279,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,restricta
ASV280,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Melanophyllum,NA
ASV281,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodosporidiobolus,ruineniae
ASV283,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,ruber
ASV284,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,brinkmannii
ASV285,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Linnemannia,gamsii
ASV286,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellales_fam_Incertae_sedis,Mortierellales_gen_Incertae_sedis,NA
ASV289,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,capitata
ASV290,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Linnemannia,gamsii
ASV291,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,chernovii
ASV293,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha,NA
ASV294,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,appendiculatus
ASV295,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Thanatephorus,NA
ASV296,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,NA
ASV297,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliales_fam_Incertae_sedis,Orbiliales_gen_Incertae_sedis,NA
ASV300,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Thelonectria,blackeriella
ASV302,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,equiseti
ASV303,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Linnemannia,gamsii
ASV305,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,NA,NA
ASV306,Fungi,Basidiomycota,Cystobasidiomycetes,Sakaguchiales,Sakaguchiaceae,Sakaguchia,lamellibrachiae
ASV316,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Brachyphoris,oviparasitica
ASV320,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,NA,NA
ASV321,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Jeremyomyces,labinae
ASV322,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,caroliniana
ASV323,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,basi-inflatum
ASV324,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Vaginatispora,NA
ASV329,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Chaetopreussia,NA
ASV330,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Helotiaceae_gen_Incertae_sedis,NA
ASV331,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA
ASV333,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
